# word	frequency
die	16197
van	5909
en	5810
in	5445
is	4048
het	4024
sy	2167
word	1858
wat	1835
met	1573
vir	1550
op	1542
hy	1522
te	1497
nie	1460
was	1449
as	1443
dit	1298
om	1258
se	1046
deur	994
aan	856
ook	819
tot	805
hulle	783
of	756
dat	686
na	656
kan	555
bekend	541
hierdie	529
haar	516
daar	504
maar	491
by	477
uit	460
oor	400
rolle	380
eerste	375
ander	371
gebruik	368
soos	352
groot	341
een	340
baie	328
meer	326
hul	325
jaar	320
twee	309
onder	276
teen	267
tussen	258
begin	243
toe	243
egter	238
hom	228
nuwe	218
dié	216
so	208
waar	208
net	205
kon	199
mense	198
nog	193
al	186
sou	176
maak	170
gehad	168
later	166
laat	161
werk	159
moet	155
voor	155
sal	154
tydens	153
wees	153
terwyl	146
dikwels	143
deel	141
keer	139
drie	138
tyd	138
naam	135
dan	133
weer	133
lank	129
lewe	129
kerk	128
klein	128
slegs	128
gemaak	125
saam	123
geen	122
omdat	122
ná	120
eeu	118
de	115
gebou	115
kom	114
land	112
gevolg	111
stad	110
vorm	110
dieselfde	108
nadat	108
dood	107
verskillende	107
volgens	107
genoem	106
wanneer	105
ʼn	105
meeste	104
gemeente	103
vanaf	101
eie	99
gewoonlik	99
sowat	99
nasionale	98
dus	97
gaan	95
nou	95
suid-afrika	95
af	93
alle	93
moes	93
staan	93
gebied	92
waarin	92
sommige	91
elke	90
eers	89
reeds	89
televisiereeks	89
daarna	88
self	87
hoewel	86
ontwikkel	86
sedert	86
kry	84
hier	82
skryf	81
wêreld	81
daarvan	80
vier	80
vrou	80
laaste	78
byvoorbeeld	77
einde	77
gee	77
plek	77
sonder	77
swart	75
geneem	74
moontlik	74
rol	74
mens	73
ons	73
stel	73
water	73
aantal	72
belangrike	72
regering	72
vandag	72
bevolking	71
ten	71
gepubliseer	70
rolprent	70
enige	69
hou	69
kinders	69
steeds	69
hoe	68
paar	68
per	68
universiteit	68
binne	67
dag	67
ontstaan	67
sodat	67
wit	67
groter	66
gehou	65
vroeë	65
britse	64
kort	64
mekaar	64
plaas	64
bly	63
man	63
party	63
sterk	63
hele	62
neem	62
reeks	62
seun	62
verander	62
asook	61
besluit	61
gedoen	61
hoofsaaklik	61
speel	61
veroorsaak	61
vind	61
vlag	61
internasionale	60
ou	60
miljoen	59
sluit	59
gebore	58
gestig	58
volgende	58
waarvan	58
beste	57
grond	57
mag	57
aanvanklik	56
boek	56
doen	56
gespeel	56
lê	56
ekonomiese	55
ontwerp	55
tans	55
april	54
gekry	54
gelei	54
groep	54
lei	54
maart	54
middel	54
ontvang	54
staat	54
daardie	53
ek	53
enkele	53
september	53
talle	53
dorp	52
my	52
november	52
ontwikkeling	52
sien	52
gedigte	51
geskryf	51
mei	51
wel	51
algemeen	50
algemene	50
god	50
groei	50
huis	50
sekere	50
albei	49
beheer	49
desember	49
engels	49
hoë	49
jong	49
julie	49
liggaam	49
loop	49
lyk	49
minder	49
taal	49
voltooi	49
voorkom	49
vroue	49
vyf	49
augustus	48
belangrikste	48
cm	48
geskiedenis	48
goeie	48
km	48
oorlede	48
ses	48
ter	48
wil	48
afrikaanse	47
beide	47
februarie	47
januarie	47
junie	47
naby	47
wou	47
beteken	46
dae	46
goed	46
aarde	45
gegee	45
gekom	45
help	45
terug	45
verloor	45
wetenskaplike	45
'n	44
dele	44
derde	44
familie	44
lang	44
nooit	44
vis	44
woord	44
alhoewel	43
bou	43
diere	43
gesien	43
hê	43
probeer	43
skool	43
sowel	43
daarop	42
geleë	42
min	42
ryk	42
der	41
koning	41
rooi	41
vanweë	41
verhaal	41
verkies	41
betrokke	40
bo	40
gevorm	40
gewen	40
omgewing	40
ouderdom	40
see	40
voordat	40
want	40
dui	39
europese	39
gebly	39
gesê	39
geval	39
kind	39
lae	39
langs	39
lede	39
spesie	39
trek	39
tydperk	39
vader	39
verklaar	39
wie	39
afrikaans	38
beter	38
beweeg	38
lig	38
manier	38
meestal	38
militêre	38
persoon	38
altyd	37
daarom	37
geplaas	37
hoër	37
kant	37
lid	37
meter	37
navorsing	37
oktober	37
oorspronklike	37
skrywer	37
kennis	36
kerkgebou	36
leraar	36
lewer	36
streek	36
sê	36
aard	35
bied	35
byna	35
druk	35
duidelik	35
duur	35
eerder	35
hoog	35
ma	35
ouer	35
pa	35
titel	35
verlaat	35
almal	34
beperk	34
blou	34
bring	34
frankryk	34
raak	34
verenigde	34
verkoop	34
waarop	34
engeland	33
natuurlike	33
proses	33
son	33
soort	33
term	33
vertel	33
woorde	33
beeld	32
bekende	32
eiland	32
handel	32
historiese	32
homself	32
huwelik	32
indien	32
johannesburg	32
kos	32
naamlik	32
new	32
president	32
punt	32
span	32
tog	32
volg	32
waarskynlik	32
aanvaar	31
behoort	31
dra	31
geboue	31
geld	31
gereeld	31
mate	31
plant	31
roman	31
stelsel	31
ster	31
